,Experiment,Information,t[h],X[g],V[L],P[g]
0,PlaPro_24R2,lin_ctrl,4,10.1375091842189,0.5695229878774662,0.0967957769580683
1,PlaPro_24R2,lin_ctrl,15,24.9962983081836,0.7182844341432091,0.9853380115989852
2,PlaPro_24R2,lin_ctrl,19,29.5872982520204,0.7745366034560314,1.4117010410645976
3,PlaPro_24R2,lin_ctrl,23,33.691121274041,0.8298305732522414,1.7653224936443217
4,PlaPro_24R2,lin_ctrl,27,37.2204348108313,0.8840958387370855,2.1012962955867085
5,PlaPro_24R2,lin_ctrl,31,40.3595086217666,0.938593223762016,2.2918419886416603
6,PlaPro_24R2,lin_ctrl,35,42.6652990961852,0.992216258050814,2.0630013404861227
7,PlaPro_27R2,lin_slim,4,10.3459718141202,0.5684599897868241,0.0951989461541367
8,PlaPro_27R2,lin_slim,15,25.9165447691853,0.7259536349911828,0.9678010677241796
9,PlaPro_27R2,lin_slim,19,30.4092841092381,0.7797252335702057,1.4253135126173828
10,PlaPro_27R2,lin_slim,23,33.9784507396025,0.8328051651863358,1.689399847902696
11,PlaPro_27R2,lin_slim,27,34.425034361988,0.8759550728241243,2.103641546484583
12,PlaPro_27R2,lin_slim,31,33.8914569634037,0.9209635044403128,2.366451211626833
13,PlaPro_27R2,lin_slim,35,32.3697710202488,0.9749931030195392,2.079633987080409
14,PlaPro_30R1,lin_slim,4,10.2891258151415,0.5684599897868231,0.1293306826363063
15,PlaPro_30R1,lin_slim,15,26.4973076771782,0.7259536349911835,1.1732180237097585
16,PlaPro_30R1,lin_slim,19,30.2533390625241,0.7797252335702046,1.568845178012214
17,PlaPro_30R1,lin_slim,23,33.8118897065652,0.8328051651863351,1.9237581128885244
18,PlaPro_30R1,lin_slim,27,35.6513714639418,0.8759550728241228,2.241472632459334
19,PlaPro_30R1,lin_slim,31,36.0096730236162,0.9209635044403144,2.500718527311975
20,PlaPro_30R1,lin_slim,35,34.2222579159857,0.9749931030195385,2.421548956392779
21,PlaPro_30R2,lin_slim,4,10.402817813099,0.5684599897868244,0.1364449929773314
22,PlaPro_30R2,lin_slim,15,26.7150937676756,0.7259536349911868,1.1369371797029362
23,PlaPro_30R2,lin_slim,19,30.7211742026661,0.7797252335702036,1.6750058579123204
24,PlaPro_30R2,lin_slim,23,33.8951702230838,0.8328051651863342,2.079585682120302
25,PlaPro_30R2,lin_slim,27,35.651371463942,0.8759550728241234,2.338679390036956
26,PlaPro_30R2,lin_slim,31,35.5491912713961,0.9209635044403134,2.662680613259065
27,PlaPro_30R2,lin_slim,35,34.2222579159857,0.9749931030195385,2.413849465298904
28,PlaPro_30R3,lin_ctrl,4,9.91908048437258,0.5700620968030252,0.1292382520400826
29,PlaPro_30R3,lin_ctrl,15,25.938919316165,0.7265803730018187,1.0751933713177493
30,PlaPro_30R3,lin_ctrl,19,30.5035948419184,0.7801430905861463,1.6665974060649151
31,PlaPro_30R3,lin_ctrl,23,34.4984760191828,0.8332965222024852,1.8785104603854696
32,PlaPro_30R3,lin_ctrl,27,38.6280861491977,0.8779110488454023,2.143709400374853
33,PlaPro_30R3,lin_ctrl,31,41.3482828618104,0.922952742451125,2.33707334573967
34,PlaPro_30R3,lin_ctrl,35,43.8918005088867,0.9667797468917756,2.434987022872482
35,PlaPro_30R4,lin_ctrl,4,10.2611177424545,0.5700620968030278,0.1285720201303287
36,PlaPro_30R4,lin_ctrl,15,25.7936032415644,0.7265803730018162,1.092001963797561
37,PlaPro_30R4,lin_ctrl,19,30.581609150977,0.7801430905861458,1.5501018872355428
38,PlaPro_30R4,lin_ctrl,23,34.6651353236235,0.8332965222024861,1.9313844180244932
39,PlaPro_30R4,lin_ctrl,27,38.4525039394284,0.8779110488454013,2.2065123742434105
40,PlaPro_30R4,lin_ctrl,31,41.4405781360555,0.9229527424511268,2.407973369534149
41,PlaPro_30R4,lin_ctrl,35,44.1818344329542,0.9667797468917746,2.3792476644336946
42,lin/S-Limmean,lin_slim_mean,4,10.3459718141202,0.568459989786821,0.1201012094210828
43,lin/S-Limmean,lin_slim_mean,15,26.3763154046797,0.7259536349911851,1.092196468949128
44,lin/S-Limmean,lin_slim_mean,19,30.4612657914761,0.7797252335702047,1.556267898804098
45,lin/S-Limmean,lin_slim_mean,23,33.8951702230838,0.8328051651863342,1.8972637719397532
46,lin/S-Limmean,lin_slim_mean,27,35.2425924299573,0.8759550728241258,2.2279834292143605
47,lin/S-Limmean,lin_slim_mean,31,35.1501070861387,0.9209635044403146,2.510023179787616
48,lin/S-Limmean,lin_slim_mean,35,33.6047622840734,0.9749931030195398,2.3052978468314325
49,lin/controlmean,lin_ctrl_mean,4,10.1059024703487,0.5698817182527474,0.1181531993731243
50,lin/controlmean,lin_ctrl_mean,15,25.576273621971,0.7238568006218215,1.050449829977682
51,lin/controlmean,lin_ctrl_mean,19,30.2241674149719,0.7783047402997043,1.5422786408461284
52,lin/controlmean,lin_ctrl_mean,23,34.2849108722825,0.8321580308806432,1.858003145314422
53,lin/controlmean,lin_ctrl_mean,27,38.1003416331525,0.8799155111582565,2.1504008123174088
54,lin/controlmean,lin_ctrl_mean,31,41.0494565398775,0.9280208712858522,2.3455726148921188
55,lin/controlmean,lin_ctrl_mean,35,43.579644679342,0.9749361225803558,2.2931762777031963
